title	importance
Dual-flashlight plot	low
IEEE/ACM Transactions on Computational Biology and Bioinformatics	low
Bette Korber	low
FishBase	low
Evolutionary grade	high
Mammalian promoter database	low
List of RNA-Seq bioinformatics tools	mid
Multiomics	high
Ehud Shapiro	low
Translatomics	low
Viability theory	low
PubMed Central Canada	mid
BISC (database)	low
PubMed Central	mid
Network motif	low
Sepp Hochreiter	low
Bernhard Palsson	low
Ewan Birney	low
Cofactor Genomics	low
List of genetic algorithm applications	low
Allen Brain Atlas	mid
Genome	high
Japanese Society for Bioinformatics	low
Mouse gene expression database	low
Conserved Domain Database	low
DbDNV	low
Database (journal)	low
Information Hyperlinked over Proteins	mid
List of biological databases	high
Aviv Regev	low
List of mass spectrometry software	low
Bioinformatics (journal)	high
Felsenstein's tree-pruning algorithm	low
Comparative Toxicogenomics Database	low
Chemistry Development Kit	low
Macromolecular docking	mid
Global Infectious Disease Epidemiology Network	low
RegulonDB	low
Semiempirical Energy Based	low
DNA database	mid
Protein design	mid
High-throughput screening	low
Journal of Theoretical Biology	low
Cancer Genome Project	low
YASARA	low
Minimum information required in the annotation of models	low
International Society for Computational Biology Student Council	low
Sequential structure alignment program	low
Legume Information System	low
Dynamic energy budget theory	low
Pedro Mendes (scientist)	low
Sequence profiling tool	mid
KNIME	low
Narrow escape problem	low
Community matrix	low
Briefings in Bioinformatics	low
Europe PubMed Central	low
Mouse Genome Database	unknown
HitPredict	low
Fitness function	mid
Imaging informatics	low
ECgene	low
Structural genomics	high
Mass spectrometry data format	low
Similarity measure	mid
Intronerator	low
ATAC-seq	low
List of protein-ligand docking software	mid
Webb Miller	low
Chromosome conformation capture	low
Biomedical Computation Review	low
Sequence alignment	high
Andrew Huxley	low
Point accepted mutation	high
Metabolomics	mid
DeCODE genetics	low
Quantum Aspects of Life	low
DAnCER (database)	low
Erez Lieberman Aiden	low
Amino acid replacement	high
Lead Finder	low
EDAS	low
Ki Database	low
Nucleic acid design	mid
Acta Biotheoretica	low
Inferring horizontal gene transfer	low
Global Public Health Intelligence Network	low
Phylogenetic tree	top
CAZy	mid
Bak–Sneppen model	low
Sim4	low
Discovering Dengue Drugs – Together	low
Netherlands Bioinformatics Centre	low
Pathema	low
ChEBI	low
Volcano plot (statistics)	mid
Biskit	low
Chemical database	mid
Co-occurrence network	low
Pacific Symposium on Biocomputing	low
Bayesian inference in phylogeny	high
GeNMR	low
Genome@home	low
KEGG	high
MAVID	low
Visual Molecular Dynamics	low
Sequence assembly	high
Transcriptome	high
ChEMBL	mid
MDL Chime	low
Shahid Hussain Bokhari	low
Mouse Genome Informatics	low
NCI-Nature Pathway Interaction Database	low
NanoString Technologies	unknown
QFAB Bioinformatics	low
Distance matrix	high
Pyotr Anokhin	low
DNA barcoding	high
Tom Blundell	low
Breath gas analysis	low
Conserved non-coding sequence	mid
MGI (company)	low
Pharmaceutical bioinformatics	mid
BLAST (biotechnology)	top
Wellcome Genome Campus	low
Morphobank	low
Phi coefficient	mid
Ruzzo–Tompa algorithm	low
List of phylogenetics software	high
HubMed	low
Docking (molecular)	high
Microarray analysis techniques	mid
WebGeSTer	low
European Molecular Biology Laboratory	low
Hollywood (database)	low
Microbial phylogenetics	low
Sequenom	low
PolymiRTS	low
DBASS3/5	low
PANDIT (database)	low
Krembil Research Institute	mid
Virtual Cell	low
Viral phylodynamics	low
Syed I. Ahson	low
Foundational Model of Anatomy	low
Binning (metagenomics)	low
Approximate Bayesian computation	low
Catalogue of Life	low
DSSP (algorithm)	low
Hirschberg's algorithm	low
Integrodifference equation	low
Database of Interacting Proteins	low
MacVector	mid
Tree rearrangement	low
Full-parasites	low
Christopher Burge	low
SnpEff	low
Biological network	high
DbSNP	mid
WikiPathways	low
EBird	low
Protein–protein interaction prediction	high
GenBank	high
List of neuroscience databases	low
Protein Segment Finder	unknown
Next-generation matrix	low
SnoRNA prediction software	low
International Society for Computational Biology	high
FREP	low
Institute of Genomics and Integrative Biology	low
Substitution matrix	high
Richard Bonneau	low
Genomes OnLine Database	mid
DiProDB	low
Gene Designer	low
Early Detection Research Network	low
ChimerDB	low
Computational immunology	mid
GeneDx	low
IUPHAR Database	low
Gene nomenclature	mid
Ensembl genome database project	high
Open Regulatory Annotation Database	low
Genome Compiler	low
MatrixDB	low
Scoring functions for docking	mid
National Center for Genomic Analysis	low
Variable-order Bayesian network	low
Proteome	high
Substitution model	mid
Joan Bailey-Wilson	low
BioUML	low
Mathematical physiology	mid
N50, L50, and related statistics	low
Peak calling	low
U12 intron database	low
Synthetic Gene Database	low
NCBI Epigenomics	low
RNA CoSSMos	low
Paradox of enrichment	low
Mark B. Gerstein	low
Galaxy (computational biology)	high
James D. Murray	low
Molecular models of DNA	mid
GENtle	low
Manolis Kellis	low
Catfish genome database	unknown
Blast2GO	low
List of omics topics in biology	low
Spatial transcriptomics	low
European Bioinformatics Institute	low
List of RNA structure prediction software	low
X-PLOR	mid
LncRNAdb	low
Superfamily database	mid
Orac (MD program)	low
Laurence Hurst	low
Ian Horrocks	low
Short Oligonucleotide Analysis Package	mid
Debian-Med	na
Protein Data Bank (file format)	mid
Fiona Brinkman	low
List of Y-DNA single-nucleotide polymorphisms	low
FINDbase	low
GLIMMER	high
Rule-based modeling	low
Asian Young Researchers Conference on Computational and Omics Biology	low
Biological data visualization	mid
High-frequency oscillations	low
Tissue cytometry	low
John Maynard Smith	mid
Operon database	low
REPAIRtoire	low
Pavel A. Pevzner	low
CUT&RUN sequencing	low
Mathematical modeling of electrophysiological activity in epilepsy	mid
Bowtie (sequence analysis)	mid
National Institute of Genetics	low
Combined DNA Index System	low
SeaLifeBase	low
AMBER	mid
Margaret Oakley Dayhoff	high
National Center for Genome Resources	low
CYANA (software)	low
Eukaryotic Linear Motif resource	low
Luxembourg Centre for Systems Biomedicine	low
Hymenoptera Genome Database	low
Saraswathi Vishveshwara	low
Global Alliance for Genomics and Health	low
Institute of Mathematical Problems of Biology	low
Interferome	low
Morris–Lecar model	low
Analysis of molecular variance	low
Gajendra Pal Singh Raghava	low
The Proteolysis Map	low
Broad Institute	low
EM Data Bank	mid
Robinson–Foulds metric	low
Minimum information about a simulation experiment	low
Minimum information about a microarray experiment	mid
Consensus CDS Project	low
Barcode of Life Data System	low
ConsensusPathDB	low
Network of Cancer Genes	low
Polbase	low
COPASI	low
Haar-like feature	low
MICdb	low
Dennis Bray	low
CHARMM	mid
Biocomplexity Institute of Virginia Tech	low
Vito Volterra	low
MicroRNA and microRNA target database	low
SAMPL Challenge	low
Crystallography Open Database	low
Burkhard Rost	mid
H-Invitational	low
MicroRNA and microRNA target database	low
UCPH Bioinformatics Centre	low
Roderic D. M. Page	low
Protein family	high
Cross-species transmission	low
Eric Xing	low
Jukka-Pekka Onnela	low
Yass (software)	low
SpliceInfo	low
Michael Stumpf	low
Peter Keightley	low
IsoBase	low
Indian Genetic Disease Database	low
Molecular Evolutionary Genetics Analysis	low
MicroRNA sequencing	low
HH-suite	low
Computational Resource for Drug Discovery	low
BOSS (molecular mechanics)	low
Petri net	low
Ludwig von Bertalanffy	low
ETBLAST	low
Gaussian network model	mid
Nanopore sequencing	low
Taekjip Ha	low
DAVID	mid
Effective (database)	low
Fusarium graminearum genome database	low
GoPubMed	low
Template modeling score	low
WormBase	mid
Chip description file	low
Terry Speed	low
Power graph analysis	unknown
NeXtProt	low
Tandy Warnow	mid
NK model	low
Non-B database	low
DroID	low
Ancestral reconstruction	low
TIARA (database)	low
Outgroup (cladistics)	mid
Kinetic logic	low
Theoretical ecology	high
Kabsch algorithm	mid
Paradox of the plankton	low
Biochip	low
Consensus sequence	high
Comparative genomics	top
Monod equation	low
BYKdb	low
EzTaxon Database	low
D'Arcy Wentworth Thompson	mid
Self-consistent mean field (biology)	low
BALL	low
Synthetic life	na
Microarray databases	mid
Topologically associating domain	low
FlyFactorSurvey	low
Paleoproteomics	low
Viktorya Aviyente	low
DNA Data Bank of Japan	low
Pulse vaccination strategy	low
Snptstr (database)	low
NGSmethDB	low
Database of protein conformational diversity	low
RedToL	low
David States	low
Denis Noble	low
EMBnet	low
Gene set enrichment analysis	mid
Flux balance analysis	high
MANET database	low
Phyloscan	low
Lawrence Hunter	mid
OLIGO Primer Analysis Software	low
NetPath	low
Half sphere exposure	low
Luay Nakhleh	low
Alignment-free sequence analysis	mid
Integrated Microbial Genomes System	low
SPIKE (database)	low
Protein Circular Dichroism Data Bank	low
Riken integrated database of mammals	low
Single cell epigenomics	low
Genomics England	low
Models of DNA evolution	mid
BLOSUM	high
Computational genomics	mid
MethDB	low
AgBase	low
Data curation	mid
Osnat Penn	low
TopHat (bioinformatics)	low
GISSD	low
BioCatalogue	low
Gypsy (database)	low
Biocurator	mid
Genome-based peptide fingerprint scanning	low
Orientations of Proteins in Membranes database	low
UC Santa Cruz Genomics Institute	low
Genome architecture mapping	low
Centre for Genomic Pathogen Surveillance	low
SNV calling from NGS data	low
Jpred	low
Ron Appel	low
Biological network inference	low
Variant Call Format	mid
Chris Sander (scientist)	mid
Single-cell sequencing	high
Stem cell genomics	low
Expasy	mid
PRINTS	low
Randall Beer	low
Protein structure database	low
1000 Genomes Project	low
MvirDB	low
Takashi Gojobori	mid
Kim D. Pruitt	low
Institute for Systems Biology	low
EcoCyc	low
Terri Attwood	mid
McDonald–Kreitman test	mid
Eran Segal	low
UCbase	low
Identifiers.org	low
Australia Bioinformatics Resource	low
Martin Vingron	low
Gap penalty	high
Reactome	low
Microarray	top
Daniel Gillespie	mid
Algebraic biology	mid
Claus O. Wilke	low
Ukkonen's algorithm	low
Amos Bairoch	low
Arthur Winfree	low
Leiden Open Variation Database	low
MiRTarBase	low
Paul Emsley (crystallographer)	low
Christoph Bock	low
Celera Corporation	low
Pubget	low
Structure atlas of human genome	low
BindingDB	low
Bioinformatics Open Source Conference	mid
Community Cyberinfrastructure for Advanced Microbial Ecology Research and Analysis	low
Philip Bourne	mid
EMAGE	mid
Raymond E. Goldstein	low
ATUM	low
Machine learning in bioinformatics	high
Rafael Irizarry (scientist)	mid
Computational modeling of ischemic stroke	low
RAPTOR (software)	mid
Animal Diversity Web	mid
PRIAM enzyme-specific profiles	low
International Protein Index	low
Archaeopteryx (software)	low
Pamela Silver	low
Haplotype estimation	low
Human-based evolutionary computation	low
MEROPS	high
UTRdb	low
Phred (software)	low
NAPP (database)	low
PEAKS	low
OBO Foundry	mid
European Conference on Computational Biology	mid
Energy charge	low
Gary Stormo	low
Tim Hubbard	low
RNA22	low
Brendan Frey	low
PLINK (genetic tool-set)	low
European Health Examination Survey	low
TcoF-DB	low
Online Mendelian Inheritance in Animals	low
Open Biomedical Ontologies	high
G protein-coupled receptors database	low
Robert F. Murphy (computational biologist)	low
Crossover (genetic algorithm)	low
SNP array	high
Vertebrate Genome Annotation Project	low
ARKive	mid
Tree of Life Web Project	low
List of fellows of the International Society for Computational Biology	low
Rob Knight (biologist)	low
HomoloGene	low
CUT&Tag sequencing	low
Computational models in epilepsy	low
Domine Database	low
Clone manager	low
Winston Patrick Kuo	low
List of databases for oncogenomic research	low
Representative sequences	low
ProteoWizard	low
Research in Computational Molecular Biology	mid
ISCB Africa ASBCB Conference on Bioinformatics	low
Korean Bioinformation Center	low
The OpenMS Proteomics Pipeline	low
StarBase (biological database)	low
Earlham Institute	low
Positional sequencing	high
FloraBase	low
Alston Scott Householder	low
Franco P. Preparata	low
Helen M. Berman	low
Janet Thornton	low
John B. Hogenesch	low
Sean Eddy	mid
MiRBase	mid
OriDB	low
Proteomics Standards Initiative	mid
Formatdb	low
List of sequenced bacterial genomes	mid
DECIPHER	low
Bruce Donald	low
Open Bioinformatics Foundation	mid
DNA microarray experiment	mid
Affymetrix GeneChip Operating Software	na
EB-eye	low
Boolean network	mid
Dry lab	high
Demographic and Health Surveys	low
FASTQ format	mid
Orthologous MAtrix	low
RNA-binding protein database	low
Bob Waterston	low
Trans-Proteomic Pipeline	low
Peptide-mass fingerprint	mid
Beacon designer	low
MochiView	low
List of members of the National Academy of Sciences (Biophysics and computational biology)	low
BioSamples	low
Structural Classification of Proteins database	high
Michael Eisen	low
Gene Wiki	mid
MUBII-TB-DB	low
Open Tree of Life	low
PyClone	low
Edward C. Holmes	low
ExoCarta	low
National Center for Biomedical Ontology	mid
Sample and Data Relationship Format	low
BioCreative	low
Phyre	low
Biopython	high
Single-cell transcriptomics	mid
Hanes–Woolf plot	low
Read (biology)	high
BioModels	low
VectorDB	low
Islander (database)	low
TaveRNA	low
MODELLER	mid
RNA integrity number	low
HumHot	low
Popgenie	low
Systems Biology Ontology	mid
Neighbor joining	high
Daphne Koller	low
Ravi Iyengar	low
George Karreman	low
100,000 Genomes Project	low
CASP	mid
List of software for protein model error verification	low
InSatDb	low
GENCODE	low
UTOPIA (bioinformatics tools)	low
REBASE (database)	mid
Systems Biology Ireland	low
European Nucleotide Archive	mid
HIstome	low
Data wrangling	low
Mascot (software)	high
Martin Gruebele	low
Pan-genome	mid
Eurocarbdb	low
DbCRID	low
The Genomic HyperBrowser	low
ACE (genomic file format)	low
SAM (file format)	mid
Kira Makarova	low
National Centers for Biomedical Computing	low
Metabolic flux analysis	low
Genetic codes (database)	low
Cell-based models	low
Epitranscriptomic sequencing	mid
Standard flowgram format	low
Richard M. Durbin	low
Cooperative binding	mid
Genetic distance	mid
MIRIAM Registry	low
Sarah Teichmann	low
Univec	low
MESAdb	low
ProSAS	low
SNPedia	low
D. Lansing Taylor	low
Conformational ensembles	low
Ying Xu	low
BGMUT	low
Short linear motif	mid
TargetScan	low
Single-molecule magnetic sequencing	high
List of awards in bioinformatics and computational biology	low
Population structure (genetics)	unknown
BeeBase	low
Eadie–Hofstee diagram	low
Chou–Fasman method	mid
Biomedical text mining	high
List of biological wikis	mid
National Center for Integrative Biomedical Informatics	low
Michael Ashburner	low
Stability of Boolean networks	na
DeLano Award for Computational Biosciences	low
ANGIS	low
ZebraBox	low
MINAS	low
TRANSFAC	low
Estonian Genome Project	mid
ProtCID	low
RNA modification database	low
Pseudogene (database)	low
Allele Frequency Net Database	low
Comprehensive Antibiotic Resistance Database	low
Keith A. Crandall	low
Lineweaver–Burk plot	low
Biclustering	mid
Bioconductor	mid
African Society for Bioinformatics and Computational Biology	mid
David Haussler	low
MicrobesOnline	low
Yeast Promoter Atlas	low
ITools Resourceome	low
DNA binding site	mid
Conservative replacement	low
Trajectory inference	low
Translatome	unknown
PomBase	low
UniFrac	low
Cervical Cancer Gene Database	low
Biomax Informatics	low
PDBREPORT	low
Laminin database	low
Pathway Commons	low
DIMA (database)	low
Automated species identification	low
EMBRACE	low
Uri Alon	low
PHOSIDA	low
Center for Applied Genomics	low
T-REX (web server)	low
Junhyong Kim	low
Ciliate MDS/IES database	low
Cable theory	mid
GeneCards	mid
List of biodiversity databases	low
François Fages	low
De novo sequence assemblers	low
Computational biology	top
Centre for DNA Fingerprinting and Diagnostics	low
Wen-Hsiung Li	low
Stephen Muggleton	low
EVA (benchmark)	low
Attack rate	mid
Edward H. Shortliffe	low
Ruedi Aebersold	low
Families of Structurally Similar Proteins database	low
ParaSurf	low
PSIPRED	high
Weighted correlation network analysis	low
Death Domain database	low
Molecular Modeling Database	low
Open protein structure annotation network	low
Ciona intestinalis protein database	low
FoldX	low
Olga Troyanskaya	low
GlycomeDB	low
Nucleosome positioning region database	low
RegTransBase	low
LarvalBase	low
Convergent Functional Genomics	low
Ubuntu-Med	low
ViennaRNA Package	low
Autism Genetic Resource Exchange	low
De novo transcriptome assembly	mid
UniPROBE	low
Tandem Repeats Database	low
UCSC Genome Browser	high
Glyquest	low
Núria López Bigas	mid
Pangenomics	na
Pseudomonas Genome Database	low
ParameciumDB	low
DNA adenine methyltransferase identification	low
IntEnz	low
Warren Lyford DeLano	low
Temple F. Smith	low
Swiss Institute of Bioinformatics	low
Phred quality score	mid
Tim Mitchison	low
Munich Information Center for Protein Sequences	mid
Worldwide Protein Data Bank	mid
Protein Analysis Subcellular Localization Prediction	low
HUGO Gene Nomenclature Committee	mid
Global Biodiversity Information Facility	low
AutoDock	mid
T-Coffee	mid
Transporter Classification Database	low
3D-Jury	low
International Knockout Mouse Consortium	low
MetaCyc	low
Cytoscape	high
Cyrus Chothia	low
CRAM (file format)	low
Barbara Engelhardt	low
Unique molecular identifier	low
Kat Holt	low
Phenoscape	low
Eleazar Eskin	mid
Nicolas Rashevsky	mid
Virtual karyotype	low
Monod–Wyman–Changeux model	mid
Elasticity coefficient	mid
Direct coupling analysis	low
Colocalization Benchmark Source	low
ACLAME	low
InterMine	low
LocDB	low
Combrex	low
Melbourne Bioinformatics	low
FastContact	low
P2CS	low
OrthoDB	low
Joseph Henry Woodger	low
PhenomicDB	low
Wagner's gene network model	low
Avogadro (software)	low
Algae DNA barcoding	low
Leroy Hood	low
Bernd Sturmfels	low
Lipidomics	low
Robert Rosen (biologist)	low
Biological database	high
CATH database	mid
Human Proteinpedia	low
Simple Modular Architecture Research Tool	mid
Atul Butte	mid
Apache Taverna	low
Simbiosys	low
Jian Ma (computer scientist)	low
PAUP*	low
Dana Pe'er	mid
RNA helicase database	low
Digital organism	low
All of Us (initiative)	low
Bonnie Berger	low
DictyBase	low
Regulome	low
David Botstein	low
MiRGator	low
Protein-RNA interface database	low
MUSCLE (alignment software)	mid
Department of Defense Serum Repository	low
OpenMS	low
ModBase	low
BioMart	low
Inheritance (genetic algorithm)	low
Jonathan Wren (biologist)	low
Protein function prediction	high
Christine Orengo	low
LabKey Server	low
Cellular model	mid
CS-BLAST	low
MAFFT	mid
Overton Prize	low
FGED Society	low
PeroxiBase	low
Genome browser	high
Integrative bioinformatics	low
Human Biomolecular Atlas Program	unknown
Whole exome sequencing	na
Laxmi Parida	mid
Bernard Moret	mid
Mike Steel (mathematician)	mid
Robert Gentleman (statistician)	mid
Ram Samudrala	mid
Bioimage informatics	mid
List of software to detect low complexity regions in proteins	low
Arthur M. Lesk	low
Zebrafish Information Network	mid
Brian Goodwin	low
List of sequenced eukaryotic genomes	mid
Fluxomics	low
CAFASP	low
2R hypothesis	low
Biochemical systems theory	mid
Max Planck Institute for Molecular Genetics	low
Virtual screening	high
Canto (gene curation tool)	low
Voltage-gated potassium channel database	low
MaMF	low
Virtual Physiological Human	mid
Genomic Standards Consortium	mid
Genomic organization	low
Neighbour-sensing model	low
Heng Li	low
Stemloc	low
Perfect phylogeny	low
Staden Package	mid
Anduril (workflow engine)	low
AmoebaDB	low
Trey Ideker	mid
IMPDH RNA motif	unknown
Reversible Michaelis–Menten kinetics	high
Wolfgang Huber (scientist)	mid
STR analysis	low
Cyberneticist	low
Computomics	low
Hanah Margalit	mid
RIKEN Quantitative Biology Center	low
Minoru Kanehisa	low
Covarion	low
Metabolic control analysis	high
PHYLIP	low
Brain mapping	low
Human Proteome Folding Project	low
Z curve	low
Lumi (software)	low
Walter Goad	low
BioRuby	mid
GeneRIF	high
Searching the conformational space for docking	mid
Mark Lathrop	low
Hypercyclic morphogenesis	low
TAPAs model checker	low
ARB Project	low
Netherlands Bioinformatics for Proteomics Platform	low
Velvet assembler	low
FlowJo	low
Integrated Genome Browser	mid
List of phylogenetic tree visualization software	mid
TMPad	low
Ontology Definition MetaModel	low
MimoDB	low
LIGPLOT	low
Chris Ponting	low
Gil McVean	low
Protein subcellular localization prediction	low
Jeffrey Skolnick	low
Reference genome	low
ArachnoServer	low
Backbone-dependent rotamer library	unknown
Teresa Przytycka	mid
Andrew Rambaut	low
ARDB	low
Minimum Information Required About a Glycomics Experiment	low
Tohoku Medical Megabank Project	low
ISCB Fellow	low
Functional genomics	high
Evolutionary tree	na
Phylogeny	na
Mutation (genetic algorithm)	low
PubGene	low
General feature format	low
Codon Adaptation Index	low
Pairwise Algorithm	low
DisProt	low
National Institute for Mathematical and Biological Synthesis	low
UgMicroSatdb	low
Minimotif Miner	low
RefSeq	mid
PhyloXML	low
Carbohydrate sulfotransferase	unknown
Zhiping Weng	mid
Cosegregation	low
CII protein	unknown
Warren Gish	low
Kenneth H. Wolfe	low
PathoPhenoDB	low
VFDB	low
Microbial DNA barcoding	low
Sequest	mid
PROSITE	high
Metabolic network modelling	mid
HB plot	low
Ruth Nussinov	mid
Serafim Batzoglou	mid
PrecisionFDA	low
Motoo Kimura	high
ConoServer	low
Oxford Nanopore Technologies	low
Desmond G. Higgins	low
PmiRKB	low
AMAP	low
BioSLAX	low
Sanger sequencing	mid
Uppaal Model Checker	low
Rfam	high
Multiscale Electrophysiology Format	low
3did	low
Lincoln Stein	low
ELIXIR	mid
Benjamin Franklin Award (Bioinformatics)	low
General Data Format for Biomedical Signals	low
Distributed Annotation System/Clients	low
Threading (protein sequence)	high
Louis and Beatrice Laufer Center for Physical and Quantitative Biology	low
Paulien Hogeweg	low
Group size measures	low
Generalized tree alignment	low
De novo protein structure prediction	high
Glycomics	low
Patricia Babbitt	mid
Betaproteobacteria-1 RNA motif	unknown
Owen White	low
Susan K. Gregurick	low
Jacob Glanville	low
Stephen Altschul	low
UK Biobank	low
Three-taxon analysis	low
Tree alignment	mid
Center for Bioinformatics and Computational Biology	na
Putative gene	mid
PANTHER	low
JAligner	low
PCRPi-DB	low
RepTar (database)	low
Multiple EM for Motif Elicitation	high
BLAT (bioinformatics)	low
Netherlands Proteomics Centre	low
Transterm	low
Antoine Danchin	low
David Baker (biochemist)	low
Synteny	low
Evolver (software)	low
Register of Antarctic Marine Species	mid
Vince Smith (cybertaxonomist)	low
Hilary Chapman	low
Three Million African Genomes	low
Fran Lewitter	mid
Contact order	low
George Oster	low
Angus Silver	low
Yves Moreau	mid
FASTA	high
Interolog	low
Jonathan Eisen	low
PDBbind database	low
ThYme (database)	low
List of Intelligent Systems for Molecular Biology keynote speakers	low
DNA annotation	low
Douglas Kell	low
MEGARes	low
China National GeneBank	unknown
FARME	low
Marie-France Sagot	mid
Lior Pachter	mid
Thomas Lengauer	mid
Judith Blake (scientist)	mid
Alana Alexander	low
David S. Wishart	low
Database of Molecular Motions	low
Sequence Read Archive	high
GenMAPP	low
VISTA (comparative genomics)	low
PolyQ (database)	low
Your Favorite Gene	low
Anna Tramontano	low
BioPerl	high
CCP4 (file format)	low
Lattice protein	low
Bioclipse	low
BioGRID	low
UPGMA	low
Phylogenetic bracketing	low
Systems Biology Graphical Notation	mid
MIPModDB	low
CheShift	low
Randy Read	low
Michael Sternberg	low
Align-m	low
BioCyc database collection	low
Phospho.ELM	low
Sequence logo	mid
MyExperiment	low
Patome	low
Duncan Odom	low
Ebbe Nielsen Prize	low
